ID_in_Cello2,Patient,Batch,geneSymbol,I_exon8_covbases,I_exon8_meandepth,I_exon9_covbases,I_exon9_meandepth,I_exon10_covbases,I_exon10_meandepth,I_form2_covbases,I_form2_meandepth,I_form4_covbases,I_form4_meandepth,R_exon8_covbases,R_exon8_meandepth,R_exon9_covbases,R_exon9_meandepth,R_exon10_covbases,R_exon10_meandepth,R_form2_covbases,R_form2_meandepth,R_form4_covbases,R_form4_meandepth,I_norm_form4,R_norm_form4,Source.x,I_11_10,I_11_9,I_11_8,I_10_9,I_9_8,R_11_10,R_11_9,R_11_8,R_10_9,R_9_8,I_psi,R_psi,RvI,Diff
PS001,R001,A,CD47,32,91.0938,25,4.88,33,5.90909,32,91.0938,58,5.465516724,32,69.9688,25,5.52,33,11.0303,32,69.9688,58,8.65517069,0.059998778,0.123700431,NG2016,8,7,96,1,3,10,3,57,1,6,0.076923077,0.149253731,2.271328671,0.072330654
PS002,R002,A,CD47,32,95.6562,25,6.88,33,5.36364,32,95.6562,58,6.017243448,32,80.4062,25,4.04,33,10.0909,32,80.4062,58,7.482753448,0.062904897,0.093061896,NG2016,9,9,79,3,8,3,4,84,3,5,0.102272727,0.034482759,0.467914439,-0.067789969
PS003,R003,A,CD47,32,20.8125,16,0.64,7,0.424242,32,20.8125,23,0.574334522,32,182.844,25,21.76,33,19.6667,32,182.844,58,20.56898448,0.027595653,0.112494719,NG2016,1,1,22,0,0,23,15,173,10,12,0.043478261,0.117346939,4.133858268,0.073868678
PS004,R004,A,CD47,32,5.1875,0,0,0,0,32,5.1875,0,NA,32,85.8438,25,2.04,33,1.90909,32,85.8438,58,1.965516724,0,0.022896432,NG2016,0,0,5,0,0,2,4,84,0,4,0,0.023255814,Inf,0.023255814
PS005,R005,A,CD47,32,83.1562,25,8.72,33,11.7576,32,83.1562,58,10.44828966,32,108.938,25,4,33,8.42424,32,108.938,58,6.51724,0.12564655,0.059825222,NG2016,11,2,68,5,9,8,3,118,4,4,0.139240506,0.063492063,0.377419355,-0.075748443
PS006,R006,A,CD47,32,45.7812,25,2.12,33,2,32,45.7812,58,2.051724138,32,245.594,25,25.4,33,31.1515,32,245.594,58,28.67240517,0.044815866,0.116747173,NG2016,2,0,42,2,4,38,6,219,26,29,0.045454545,0.147859922,1.99009901,0.102405377
PS007,R007,A,CD47,32,50.3125,25,18.04,33,17.0303,32,50.3125,58,17.46551552,32,13.8438,25,1.52,24,1.09091,32,13.8438,49,1.309833469,0.347140681,0.094615168,NG2016,21,4,31,16,17,0,0,11,1,1,0.403846154,0,0.114416476,-0.403846154
PS008,R008,A,CD47,32,18.375,14,1.16,33,1.36364,32,18.375,47,1.302981277,32,86.5,25,8.2,33,10.9091,32,86.5,58,9.741384483,0.070910546,0.112617162,NG2016,1,1,15,0,1,7,6,82,6,10,0.0625,0.078651685,1.502762431,0.016151685
PS009,R009,A,CD47,32,148.812,25,18.52,33,28.4242,32,148.812,58,24.15514828,32,188.625,25,33.8,33,45.7273,32,188.625,58,40.58622241,0.162319895,0.21516884,NG2016,24,2,130,17,23,33,6,176,25,28,0.155844156,0.157894737,0.964762248,0.002050581
PS010,R010,A,CD47,32,28.625,0,0,33,1.33333,32,28.625,33,1.33333,32,109.062,25,12.64,33,17.0303,32,109.062,58,15.13792931,0.046579214,0.138801134,NG2016,2,2,26,0,0,17,6,98,11,13,0.071428571,0.147826087,3.584070796,0.076397516
