HGNC symbol,TCGA ID,RNA compete matrix,type
A1CF,A1CF|29974,A1CF_00001,RBP/SF
ANKHD1,ANKHD1|54882,ANKHD1_00002,RBP/SF
CELF1,CELF1|10658,BRUNOL4_00004,RBP/SF
CELF2,CELF2|10659,BRUNOL4_00004,RBP/SF
CELF3,CELF3|11189,BRUNOL4_00004,RBP/SF
CELF4,CELF4|56853,BRUNOL4_00004,RBP/SF
CELF5,CELF5|60680,BRUNOL5_00166,RBP/SF
CELF6,CELF6|60677,BRUNOL6_00187,RBP/SF
CNOT4,CNOT4|4850,CNOT4_00156,RBP/SF
CPEB1,CPEB1|64506,CPEB2_00012,RBP/SF
CPEB2,CPEB2|132864,CPEB2_00012,RBP/SF
CPEB3,CPEB3|22849,CPEB2_00012,RBP/SF
CPEB4,CPEB4|80315,CPEB4_00158,RBP/SF
DAZAP1,DAZAP1|26528,DAZAP1_00013,RBP/SF
ELAVL1,ELAVL1|1994,HuR_00032,RBP/SF
ELAVL2,ELAVL2|1993,HuR_00032,RBP/SF
ELAVL3,ELAVL3|1995,HuR_00032,RBP/SF
ELAVL4,ELAVL4|1996,HuR_00032,RBP/SF
ENOX1,ENOX1|55068,ENOX1_00149,RBP/SF
ESRP1,ESRP1|54845,ESRP2_00150,RBP/SF
ESRP2,ESRP2|80004,ESRP2_00150,RBP/SF
EWSR1,EWSR1|2130,-,RBP/SF
FMR1,FMR1|2332,FMR1_00016,RBP/SF
FUS,FUS|2521,FUS_00018,RBP/SF
FXR1,FXR1|8087,FXR1_00161,RBP/SF
FXR2,FXR2|9513,FXR2_00020,RBP/SF
G3BP1,G3BP1|10146,G3BP2_00021,RBP/SF
G3BP2,G3BP2|9908,G3BP2_00021,RBP/SF
GEMIN5,GEMIN5|25929,-,RBP/SF
HNRNPA0,HNRNPA0|10949,-,RBP/SF
HNRNPA1,HNRNPA1|3178,HNRNPA1_00022,RBP/SF
HNRNPA1L2,HNRNPA1L2|144983,HNRNPA1L2_00023,RBP/SF
HNRNPA2B1,HNRNPA2B1|3181,HNRNPA2B1_00024,RBP/SF
HNRNPA3,HNRNPA3|220988,-,RBP/SF
HNRNPAB,HNRNPAB|3182,HNRNPAB_00245,RBP/SF
HNRNPC,HNRNPC|3183,HNRNPC_00025,RBP/SF
HNRNPCL1,HNRNPCL1|343069,HNRNPCL1_00167,RBP/SF
HNRNPD,HNRNPD|3184,-,RBP/SF
HNRNPDL,HNRPDL|9987,-,RBP/SF
HNRNPF,HNRNPF|3185,-,RBP/SF
HNRNPH1,HNRNPH1|3187,-,RBP/SF
HNRNPH2,HNRNPH2|3188,HNRNPH2_00160,RBP/SF
HNRNPH3,HNRNPH3|3189,-,RBP/SF
HNRNPK,HNRNPK|3190,HNRNPK_00026,RBP/SF
HNRNPL,HNRNPL|3191,HNRNPL_00091,RBP/SF
HNRNPLL,HNRPLL|92906,HNRPLL_00178,RBP/SF
HNRNPM,HNRNPM|4670,-,RBP/SF
HNRNPR,HNRNPR|10236,-,RBP/SF
HNRNPU,HNRNPU|3192,-,RBP/SF
HNRNPUL1,HNRNPUL1|11100,-,RBP/SF
HNRNPUL2,HNRNPUL2|221092,-,RBP/SF
IGF2BP1,IGF2BP1|10642,IGF2BP2_00033,RBP/SF
IGF2BP2,IGF2BP2|10644,IGF2BP2_00033,RBP/SF
IGF2BP3,IGF2BP3|10643,IGF2BP3_00172,RBP/SF
KHDRBS1,KHDRBS1|10657,KHDRBS1_00169,RBP/SF
KHDRBS2,KHDRBS2|202559,KHDRBS2_00185,RBP/SF
KHDRBS3,KHDRBS3|10656,KHDRBS3_00034,RBP/SF
KHSRP,KHSRP|8570,-,RBP/SF
LIN28A,LIN28A|79727,LIN28A_00036,RBP/SF
MATR3,MATR3|9782,MATR3_00037,RBP/SF
MBNL1,MBNL1|4154,MBNL1_00038,RBP/SF
MBNL2,MBNL2|10150,MBNL1_00038,RBP/SF
MBNL3,MBNL3|55796,MBNL1_00038,RBP/SF
MSI1,MSI1|4440,MSI1_00041,RBP/SF
NOVA1,NOVA1|4857,-,RBP/SF
NOVA2,NOVA2|4858,-,RBP/SF
PABPC1,PABPC1|26986,PABPC1_00155,RBP/SF
PABPC3,PABPC3|5042,PABPC3_00153,RBP/SF
PABPC4,PABPC4|8761,PABPC4_00043,RBP/SF
PABPC5,PABPC5|140886,PABPC5_00171,RBP/SF
PABPN1,PABPN1|8106,PABPN1_00157,RBP/SF
PCBP1,PCBP1|5093,PCBP1_00186,RBP/SF
PCBP2,PCBP2|5094,PCBP2_00044,RBP/SF
PCBP3,PCBP3|54039,PCBP3_00215,RBP/SF
PPRC1,PPRC1|23082,PPRC1_00045,RBP/SF
PRPF40A,PRPF40A|55660,-,RBP/SF
PRPF40B,PRPF40B|25766,-,RBP/SF
PTBP1,PTBP1|5725,PTBP1_00268,RBP/SF
PTBP2,PTBP2|58155,PTBP1_00268,RBP/SF
QKI,QKI|9444,QKI_00047,RBP/SF
RALY,RALY|22913,RALY_00159,RBP/SF
RBFOX1,A2BP1|54715,RBFOX1_00168,RBP/SF
RBFOX2,RBM9|23543,RBFOX1_00168,RBP/SF
RBFOX3,HRNBP3|146713,RBFOX1_00168,RBP/SF
RBM10,RBM10|8241,-,RBP/SF
RBM11,RBM11|54033,-,RBP/SF
RBM15,RBM15|64783,-,RBP/SF
RBM15B,RBM15B|29890,-,RBP/SF
RBM17,RBM17|84991,-,RBP/SF
RBM20,RBM20|282996,-,RBP/SF
RBM22,RBM22|55696,-,RBP/SF
RBM23,RBM23|55147,-,RBP/SF
RBM24,RBM24|221662,RBM24_00184,RBP/SF
RBM25,RBM25|58517,-,RBP/SF
RBM28,RBM28|55131,RBM28_00049,RBP/SF
RBM3,RBM3|5935,RBM3_00050,RBP/SF
RBM38,RBM38|55544,Rbm38_00283,RBP/SF
RBM39,RBM39|9584,-,RBP/SF
RBM4,RBM4|5936,RBM4_00052,RBP/SF
RBM41,RBM41|55285,-,RBP/SF
RBM42,RBM42|79171,RBM42_00151,RBP/SF
RBM45,RBM45|129831,RBM45_00241,RBP/SF
RBM46,RBM46|166863,RBM46_00054,RBP/SF
RBM47,RBM47|54502,RBM47_00279,RBP/SF
RBM4B,RBM4B|83759,-,RBP/SF
RBM5,RBM5|10181,RBM5_00055,RBP/SF
RBM6,RBM6|10180,RBM6_00170,RBP/SF
RBM7,RBM7|10179,-,RBP/SF
RBM8A,RBM8A|9939,RBM8A_00056,RBP/SF
RBMS1,RBMS1|5937,RBMS1_00152,RBP/SF
RBMS3,RBMS3|27303,RBMS3_00057,RBP/SF
RBMX,RBMX|27316,-,RBP/SF
RBMXL1,RBMXL1|494115,-,RBP/SF
RBMY1A1,RBMY1A1|5940,-,RBP/SF
RBMY1B,RBMY1B|378948,-,RBP/SF
