filename,ID,count_StoExon,count_StoEnd,count_ExontoEnd,psi
TCGA-02-0047-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-02-0047,100,62,152,0.329787234042553
TCGA-02-0055-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-02-0055,19,14,17,0.4375
TCGA-02-2483-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-02-2483,23,63,30,0.70391061452514
TCGA-02-2485-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-02-2485,70,137,119,0.591792656587473
TCGA-02-2486-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-02-2486,24,16,34,0.355555555555556
TCGA-06-0125-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0125,84,154,76,0.658119658119658
TCGA-06-0125-02A-11R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0125,99,94,105,0.479591836734694
TCGA-06-0129-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0129,25,26,29,0.490566037735849
TCGA-06-0130-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0130,30,27,43,0.425196850393701
TCGA-06-0132-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0132,73,32,76,0.300469483568075
TCGA-06-0138-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0138,39,31,33,0.462686567164179
TCGA-06-0139-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0139,7,0,7,0
TCGA-06-0141-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0141,38,46,36,0.55421686746988
TCGA-06-0152-02A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0152,61,162,70,0.712087912087912
TCGA-06-0156-01A-02R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0156,57,73,63,0.548872180451128
TCGA-06-0156-01A-03R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0156,75,69,77,0.475862068965517
TCGA-06-0157-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0157,89,124,94,0.575406032482599
TCGA-06-0158-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0158,105,151,110,0.584139264990329
TCGA-06-0168-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0168,18,23,21,0.541176470588235
TCGA-06-0171-02A-11R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0171,121,78,160,0.356979405034325
TCGA-06-0174-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0174,41,78,36,0.669527896995708
TCGA-06-0178-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0178,19,15,20,0.434782608695652
TCGA-06-0184-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0184,39,28,50,0.386206896551724
TCGA-06-0187-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0187,101,96,101,0.487309644670051
TCGA-06-0190-01A-01R-1849-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0190,40,69,41,0.63013698630137
TCGA-06-0190-02A-01R-2005-01_gdc_realn_rehead_junc_itga6.txt,TCGA-06-0190,55,59,65,0.495798319327731
